"ATAC_SYMBOL","ENSEMBL","RNA_SYMBOL","RNA_logFC","RNA_P_Value","Avg_ATAC_logFC","nb_sig_peak","GENENAME","BAF.gene","TF.gene"
"DISP1","ENSG00000154309","DISP1",-0.0437094352366429,0.900902473971107,1.33820559160738,1,"dispatched RND transporter family member 1","NO","NO"
"DKK1","ENSG00000107984","DKK1",0.265332587617149,0.514173444729173,1.32758515622856,2,"dickkopf WNT signaling pathway inhibitor 1","NO","NO"
"DKK3","ENSG00000050165","DKK3",-0.426418556507696,0.592313966350244,0.61291430951823,3,"dickkopf WNT signaling pathway inhibitor 3","NO","NO"
"DLC1","ENSG00000164741","DLC1",-1.27545742859554,0.214234121721595,0.14258060615789,2,"DLC1 Rho GTPase activating protein","NO","NO"
"DLG2","ENSG00000150672","DLG2",-0.388781848728062,0.432901460894176,-0.660192379715905,4,"discs large MAGUK scaffold protein 2","NO","NO"
"DLG5","ENSG00000151208","DLG5",-0.177707901710515,0.2768411800532,-1.51109387491181,2,"discs large MAGUK scaffold protein 5","NO","NO"
"DMBX1","ENSG00000197587","DMBX1",-0.000851674688180148,0.997927664211351,1.09413780948189,1,"diencephalon/mesencephalon homeobox 1","NO","YES"
"DMRT1","ENSG00000137090","DMRT1",-0.193853648382457,0.56347781918135,-1.12539518866418,3,"doublesex and mab-3 related transcription factor 1","NO","YES"
"DMRTA2","ENSG00000142700","DMRTA2",1.09087501423053,0.229088711044292,0.577636098419732,4,"DMRT like family A2","NO","YES"
"DNAAF2","ENSG00000165506","DNAAF2",0.0791577614349261,0.618434140748676,0.679127528326165,1,"dynein axonemal assembly factor 2","NO","NO"
"DNAH14","ENSG00000185842","DNAH14",0.0653710726097443,0.72820420009229,1.68439181177039,1,"dynein axonemal heavy chain 14","NO","NO"
"DNAH5","ENSG00000039139","DNAH5",-0.353466691121637,0.814391393930107,1.20141917788263,1,"dynein axonemal heavy chain 5","NO","NO"
"DNAJB5","ENSG00000137094","DNAJB5",-0.0767007754978453,0.847504048350812,-0.91940539286156,2,"DnaJ heat shock protein family (Hsp40) member B5","NO","NO"
"DNAJB6","ENSG00000105993","DNAJB6",-0.0719369826290412,0.819813700523932,0.391352588544679,2,"DnaJ heat shock protein family (Hsp40) member B6","NO","NO"
"DNAJB9","ENSG00000128590","DNAJB9",0.23783373013646,0.572879781981261,1.43566374280652,1,"DnaJ heat shock protein family (Hsp40) member B9","NO","NO"
"DNAJC1","ENSG00000136770","DNAJC1",0.00996866880208191,0.957298076556773,0.63152464441394,1,"DnaJ heat shock protein family (Hsp40) member C1","NO","YES"
